"subjnum" "catt33G2" "G2m1_rpdi" "G2m2_pdi" "G2m3_rpd0" "G2m4_pd0" "G2m5_rpd1" "G2m6_pd1" "G2m7_rpi" "G2m8_pi" "G2m9_rp0" "G2m10_p0" "G2m11_rp1" "G2m12_p1" "G2m13_rdi" "G2m14_di" "G2m15_rd0" "G2m16_d0" "G2m17_rd1" "G2m18_d1" "G2m19_ri" "G2m20_i" "G2m21_r0" "G2m22_0" "G2m23_r1" "G2m24_1" "BICm1_rpdi" "BICm2_pdi" "BICm3_rpd0" "BICm4_pd0" "BICm5_rpd1" "BICm6_pd1" "BICm7_rpi" "BICm8_pi" "BICm9_rp0" "BICm10_p0" "BICm11_rp1" "BICm12_p1" "BICm13_rdi" "BICm14_di" "BICm15_rd0" "BICm16_d0" "BICm17_rd1" "BICm18_d1" "BICm19_ri" "BICm20_i" "BICm21_r0" "BICm22_0" "BICm23_r1" "BICm24_1" "subjnum" "m5_rpd1_r" "m5_rpd1_p" "m5_rpd1_d" "m5_rpd1_i"
"s52" 52 146.012742960219 NA NA NA NA 55.2062506892795 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 68.4627725126693 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 52 1 0.418484033104872 0.217629638674375 0.0100000000000033
"s53" 53 104.810586114194 NA NA NA NA 11.9088130038435 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 24.6542987299916 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 53 0.999999999078922 0.90128490222237 0.85276583564595 0.0100010399243774
"s54" 54 126.206067847648 NA NA NA NA 41.7232553980957 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 54.9434131398884 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 54 0.933876779943339 0.691922011589134 0.344020669419934 2.13473722273003
"s55" 55 128.978056584886 NA NA NA NA 33.2374937840388 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 46.4576515258316 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 55 1 0.330237664979304 0.367525526460887 0.01
"s56" 56 180.115388307771 NA NA NA NA 107.966919102525 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 122.278972975922 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 56 0.924343082001328 0.00111818654101806 0.188240752442567 4.94568654641018
"s57" 57 123.772777181498 NA NA NA NA 35.0870106106606 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 48.1571370907294 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 57 1 0.752308819341985 0.177762104265419 0.0100000000000004
"s58" 58 132.458243528565 NA NA NA NA 44.0984717244143 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 57.5304821678489 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 58 0.50111429843889 0.966429837357135 0.458874116006542 3.15775974036892
"s59" 59 160.106100952937 NA NA NA NA 114.027725166642 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 128.046211670028 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 59 0.995678800404043 2.7733593616087e-07 0.0947117432780555 0.0100000227272075
"s60" 60 192.147807541979 NA NA NA NA 149.775448212062 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 164.308009471438 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 60 0.985287509072259 2.10245913733533e-21 0.0674078363363843 4.9999999999994
"s61" 61 153.751093259744 NA NA NA NA 69.9241777172326 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 83.9144949995688 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 61 0.999999999725013 0.000641513852995741 0.108273988982583 0.0100317912230143
