"subjID" "group" "trial" "deck" "outcome"
"652" 8 "SDI" 10 3 1
"653" 8 "SDI" 11 4 1
"654" 8 "SDI" 12 1 1
"655" 8 "SDI" 13 4 0
"656" 8 "SDI" 14 2 1
"657" 8 "SDI" 15 1 1
"658" 8 "SDI" 16 4 1
"659" 8 "SDI" 17 2 1
"660" 8 "SDI" 18 4 1
"661" 8 "SDI" 19 1 1
"662" 8 "SDI" 20 4 1
"663" 8 "SDI" 21 2 1
"664" 8 "SDI" 22 3 1
"665" 8 "SDI" 23 2 1
"666" 8 "SDI" 24 1 0
"667" 8 "SDI" 25 1 0
"668" 8 "SDI" 26 3 0
"669" 8 "SDI" 27 4 0
"670" 8 "SDI" 28 4 1
"671" 8 "SDI" 29 2 1
"672" 8 "SDI" 30 3 0
"673" 8 "SDI" 31 2 0
"674" 8 "SDI" 32 2 0
"675" 8 "SDI" 33 4 0
"676" 8 "SDI" 34 4 1
"677" 8 "SDI" 35 1 1
"678" 8 "SDI" 36 4 1
"679" 8 "SDI" 37 2 1
"680" 8 "SDI" 38 3 1
"681" 8 "SDI" 39 1 1
"682" 8 "SDI" 40 4 1
"683" 8 "SDI" 41 1 1
"684" 8 "SDI" 42 3 1
"685" 8 "SDI" 43 4 1
"686" 8 "SDI" 44 2 1
"687" 8 "SDI" 45 3 0
"688" 8 "SDI" 46 3 1
"689" 8 "SDI" 47 4 1
"690" 8 "SDI" 48 3 1
"691" 8 "SDI" 49 2 1
"692" 8 "SDI" 50 3 1
"693" 8 "SDI" 51 4 1
"694" 8 "SDI" 52 2 1
"695" 8 "SDI" 53 1 1
"696" 8 "SDI" 54 2 1
"697" 8 "SDI" 55 4 1
"698" 8 "SDI" 56 2 0
"699" 8 "SDI" 57 3 1
"700" 8 "SDI" 58 1 1
"701" 8 "SDI" 59 3 1
"702" 8 "SDI" 60 4 1
"703" 8 "SDI" 61 2 1
"704" 8 "SDI" 62 3 1
"705" 8 "SDI" 63 1 1
"706" 8 "SDI" 64 3 1
"707" 8 "SDI" 65 1 1
"708" 8 "SDI" 66 3 1
"709" 8 "SDI" 67 1 0
"710" 8 "SDI" 68 1 1
"711" 8 "SDI" 69 2 0
"712" 8 "SDI" 70 1 1
"713" 8 "SDI" 71 4 1
"714" 8 "SDI" 72 3 1
"715" 8 "SDI" 73 4 1
"716" 8 "SDI" 74 2 1
"717" 8 "SDI" 75 1 1
"718" 8 "SDI" 76 3 1
"719" 8 "SDI" 77 2 1
"720" 8 "SDI" 78 1 1
"721" 8 "SDI" 79 3 1
"722" 9 "SDI" 1 1 0
"723" 9 "SDI" 2 1 1
"724" 9 "SDI" 3 4 1
"725" 9 "SDI" 4 1 1
"726" 9 "SDI" 5 2 1
"727" 9 "SDI" 6 3 1
"728" 9 "SDI" 7 4 1
"729" 9 "SDI" 8 1 1
"730" 9 "SDI" 9 2 1
"731" 9 "SDI" 10 3 1
"732" 9 "SDI" 11 4 1
"733" 9 "SDI" 12 1 1
"734" 9 "SDI" 13 4 0
"735" 9 "SDI" 14 2 1
"736" 9 "SDI" 15 1 1
"737" 9 "SDI" 16 4 1
"738" 9 "SDI" 17 2 1
"739" 9 "SDI" 18 3 0
"740" 9 "SDI" 19 4 0
"741" 9 "SDI" 20 3 0
"742" 9 "SDI" 21 2 1
"743" 9 "SDI" 22 3 1
"744" 9 "SDI" 23 2 1
"745" 9 "SDI" 24 3 0
"746" 9 "SDI" 25 2 1
"747" 9 "SDI" 26 1 1
"748" 9 "SDI" 27 3 1
"749" 9 "SDI" 28 4 1
"750" 9 "SDI" 29 2 1
"751" 9 "SDI" 30 3 1
"752" 9 "SDI" 31 4 1
"753" 9 "SDI" 32 2 1
"754" 9 "SDI" 33 4 1
"755" 9 "SDI" 34 3 1
"756" 9 "SDI" 35 2 0
"757" 9 "SDI" 36 4 1
"758" 9 "SDI" 37 2 1
"759" 9 "SDI" 38 3 1
"760" 9 "SDI" 39 1 1
"761" 9 "SDI" 40 4 1
"762" 9 "SDI" 41 1 1
"763" 9 "SDI" 42 3 1
"764" 9 "SDI" 43 4 1
"765" 9 "SDI" 44 2 1
"766" 9 "SDI" 45 3 1
"767" 9 "SDI" 46 2 0
"768" 9 "SDI" 47 4 1
"769" 9 "SDI" 48 1 0
"770" 9 "SDI" 49 2 1
"771" 9 "SDI" 50 4 0
